Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,month
02/10/2018,0,8,11.2,69.0,0.9,1714,5.7,0.49,0.0,0.0,Autumn,No Holiday,No,10
05/04/2018,47,11,7.1,93.0,2.6,697,6.0,0.19,0.0,0.0,Spring,No Holiday,Yes,4
10/04/2018,133,21,20.91050559851326,70.0,7.3,1634,11.9,0.0,0.5,0.0,Spring,No Holiday,Yes,4
10/11/2018,754,0,0.7515796334849121,77.0,0.9,433,7.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,11
19/01/2018,471,19,2.0,48.0,1.8,1519,-7.8,0.0,0.0,0.0,Winter,No Holiday,Yes,1
04/01/2018,397,17,-2.1,37.0,1.4,1591,-14.8,0.09,0.0,0.0,Winter,No Holiday,Yes,1
31/08/2018,987,14,29.3,41.0,1.9,1928,14.6,3.0,0.0,0.0,Summer,No Holiday,Yes,8
14/03/2018,309,1,13.7,73.0,0.3,1182,8.9,0.0,0.0,0.0,Spring,No Holiday,Yes,3
05/02/2018,33,3,-11.3,54.0,0.6,2000,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,2
28/05/2018,1502,7,16.8,0.0,0.8,1387,8.9,0.36,0.0,0.0,Spring,No Holiday,Yes,5
18/08/2018,483,3,28.219369232994225,54.0,1.0,1818,13.1,0.0,0.0,0.0,Summer,No Holiday,Yes,8
08/07/2018,2348,20,25.7,53.0,1.3,2000,15.3,0.03,0.0,0.0,Summer,No Holiday,Yes,7
29/11/2018,195,3,1.9,33.0,0.9,1994,-12.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,11
09/08/2018,1075,23,27.3,81.0,0.0,1287,23.7,0.0,0.0,0.0,Summer,No Holiday,Yes,8
09/11/2018,0,23,10.9,76.0,1.2,456,6.8,0.0,0.0,0.0,Autumn,No Holiday,No,11
20/01/2018,356,13,6.3,55.0,3.0,792,-2.0,0.85,0.0,0.0,Winter,No Holiday,Yes,1
27/08/2018,103,7,20.8,98.0,0.5,299,20.4,0.02,2.0,0.0,Summer,No Holiday,Yes,8
26/06/2018,26,14,21.0,97.0,1.7666666666666668,381,20.4,0.26,2.5,0.0,Summer,No Holiday,Yes,6
26/04/2018,409,2,11.9,57.0,1.0,1793,3.6,0.0,0.0,0.0,Spring,No Holiday,Yes,4
03/10/2018,1849,13,22.5,40.0,2.6,1854,8.2,2.64,0.0,0.0,Autumn,Holiday,Yes,10
16/12/2017,143,20,-6.6,37.0,3.4,2000,-18.9,0.0,0.0,0.0,Winter,No Holiday,Yes,12
28/03/2018,614,23,13.5,74.0,1.2,603,8.9,0.0,0.0,0.0,Spring,No Holiday,Yes,3
01/09/2018,338,4,21.2,88.0,0.9,1183,19.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,9
28/02/2018,62,5,5.2,59.0,1.7,437,-2.1,0.0,0.0,0.0,Winter,No Holiday,Yes,2
23/11/2018,664,12,5.5,20.0,1.4,1992,-15.7,1.85,0.0,0.0,Autumn,No Holiday,Yes,11
24/02/2018,219,22,-0.5903895589972383,32.0,0.9,1937,-14.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2
07/11/2018,47,4,10.6,95.0,0.7,94,9.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,11
16/06/2018,1861,15,27.8,41.0,1.6,1851,13.3,2.89,0.0,0.0,Summer,No Holiday,Yes,6
28/06/2018,1030,14,27.1,72.0,3.0,1126,21.6,0.91,0.0,0.0,Summer,No Holiday,Yes,6
11/07/2018,236,2,24.5,96.0,0.5,476,23.8,0.0,0.0,0.0,Summer,No Holiday,Yes,7
23/04/2018,21,2,10.2,90.0,2.2,490,8.6,0.0,0.9,0.0,Spring,No Holiday,Yes,4
15/09/2018,1566,18,22.855605477932286,76.0,1.2,2000,19.6,0.12,0.0,0.0,Autumn,No Holiday,Yes,9
09/01/2018,262,16,-2.4,56.0,3.3,1541,-9.9,0.35,0.0,0.0,Winter,No Holiday,Yes,1
20/02/2018,356,12,4.0,23.0,3.5,1785,-15.3,2.03,0.0,0.0,Winter,No Holiday,Yes,2
20/01/2018,223,19,3.5,66.0,1.7,187,-2.2,0.0,0.0,0.0,Winter,No Holiday,Yes,1
09/01/2018,320,9,-6.0,61.0,1.5999999999999999,1547,-12.3,0.13,0.0,0.6,Winter,No Holiday,Yes,1
16/07/2018,688,11,31.5,51.0,3.466666666666667,1498,20.1,2.83,0.0,0.0,Summer,No Holiday,Yes,7
03/10/2018,1594,21,17.6,59.0,1.6,2000,9.4,0.0,0.0,0.0,Autumn,Holiday,Yes,10
30/11/2018,740,13,7.1,24.0,2.8,1838,-12.1,1.83,0.0,0.0,Autumn,No Holiday,Yes,11
24/01/2018,121,22,-15.2,45.0,4.0,2000,-24.4,0.0,0.0,0.7,Winter,No Holiday,Yes,1
09/09/2018,1432,13,27.2,32.0,1.7,2000,9.0,3.12,0.0,0.0,Autumn,No Holiday,Yes,9
14/02/2018,398,14,7.8,57.0,3.5,675,-0.2,1.34,0.0,0.0,Winter,No Holiday,Yes,2
29/12/2017,289,7,0.9,67.0,0.6,658,-4.5,0.0,0.0,0.0,Winter,No Holiday,Yes,12
17/10/2018,381,2,10.8,77.0,0.3,1268,6.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,10
22/04/2018,247,9,16.9,45.0,0.9,1958,4.8,0.27,0.0,0.0,Spring,No Holiday,Yes,4
27/06/2018,2274,20,24.2,72.0,1.4000000000000001,833,18.8,0.03,0.0,0.0,Summer,No Holiday,Yes,6
13/04/2018,1095,12,18.2,15.0,1.6,2000,-8.9,2.27,0.0,0.0,Spring,No Holiday,Yes,4
14/05/2018,199,5,11.9,93.0,0.8,241,10.7,0.0,0.0,0.0,Spring,No Holiday,Yes,5
01/07/2018,11,11,21.2,97.0,1.2,105,20.6,0.15,18.5,0.0,Summer,No Holiday,Yes,7
06/05/2018,770,15,17.8,77.0,1.6,2000,13.7,1.13,0.0,0.0,Spring,No Holiday,Yes,5
27/01/2018,41,3,-15.3,43.0,0.8,1963,-25.0,0.0,0.0,0.3,Winter,No Holiday,Yes,1
13/02/2018,70,3,-6.599853888613252,61.0,1.3,1992,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2
08/03/2018,375,12,5.6,72.0,3.0,1700,0.9,0.89,0.0,0.0,Spring,No Holiday,Yes,3
22/01/2018,53,3,-0.3,31.0,2.5666666666666664,2000,-15.4,0.0,0.0,0.0,Winter,No Holiday,Yes,1
20/01/2018,325,12,5.3,55.0,2.6,904,-3.0,0.85,0.0,0.0,Winter,No Holiday,Yes,1
03/04/2018,430,1,17.1,72.0,1.7,1353,12.0,0.0,0.0,0.0,Spring,No Holiday,Yes,4
21/08/2018,73,6,23.8,89.0,3.3,882,21.8,0.0,1.5,0.0,Summer,No Holiday,Yes,8
27/12/2017,314,17,-4.2,26.0,2.2,2000,-20.8,0.2,0.0,0.0,Winter,No Holiday,Yes,12
17/01/2018,501,18,5.2,62.0,2.9,503,-1.5,0.01,0.0,0.0,Winter,No Holiday,Yes,1
19/03/2018,38,1,6.7,84.0,0.8,320,4.1,0.0,0.0,0.0,Spring,No Holiday,Yes,3
29/12/2017,85,4,0.6,65.0,0.4,712,-5.2,0.0,0.0,0.0,Winter,No Holiday,Yes,12
17/10/2018,1278,22,9.9,50.0,1.0,2000,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,10
10/06/2018,216,6,18.3,71.0,0.9,2000,12.9,0.0,0.0,0.0,Summer,No Holiday,Yes,6
16/06/2018,2497,20,25.0,60.0,2.4,1773,16.6,0.1,0.0,0.0,Summer,No Holiday,Yes,6
12/11/2018,158,5,4.0,71.0,0.0,2000,-0.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,11
28/05/2018,828,10,23.3,49.0,1.1,1881,11.9,2.46,0.0,0.0,Spring,No Holiday,Yes,5
03/07/2018,149,4,22.7,97.0,0.2,1808,22.1,0.0,0.0,0.0,Summer,No Holiday,Yes,7
19/10/2018,162,5,9.585828145021921,73.0,0.0,2000,3.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,10
25/01/2018,137,21,-14.1,35.0,2.2,2000,-26.2,0.0,0.0,0.5,Winter,No Holiday,Yes,1
27/08/2018,1113,23,23.6,87.0,0.6,2000,21.3,0.0,0.0,0.0,Summer,No Holiday,Yes,8
14/12/2017,211,23,-5.6,53.0,1.2,1290,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,12
30/12/2017,162,8,-0.4,78.0,1.5999999999999999,249,-3.7,0.0,0.0,0.0,Winter,No Holiday,Yes,12
07/01/2018,162,1,-3.9,51.0,0.2,1535,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes,1
02/07/2018,839,16,25.2,87.0,0.9,601,22.8,0.88,0.0,0.0,Summer,No Holiday,Yes,7
14/04/2018,122,14,21.843729646622293,94.0,1.3,1129,7.9,0.29,0.5,0.0,Spring,No Holiday,Yes,4
27/06/2018,1234,13,27.482819666062184,69.0,2.2,850,18.8,2.14,0.0,0.0,Summer,No Holiday,Yes,6
25/02/2018,297,19,3.1,40.0,2.6,1804,-9.2,0.01,0.0,0.0,Winter,No Holiday,Yes,2
19/11/2018,889,9,4.6,60.0,0.8,967,-2.5,0.46,0.0,0.0,Autumn,No Holiday,Yes,11
10/11/2018,957,19,12.1,67.0,1.5,430,6.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,11
18/11/2018,191,7,2.1,56.0,0.7,1477,-5.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,11
29/07/2018,1141,18,35.8,35.0,1.3,2000,17.9,1.21,0.0,0.0,Summer,No Holiday,Yes,7
10/07/2018,29,0,20.4,97.0,0.3,183,19.9,0.0,5.5,0.0,Summer,No Holiday,Yes,7
26/12/2017,271,14,-1.6,20.0,4.3,2000,-21.6,1.11,0.0,0.0,Winter,No Holiday,Yes,12
09/07/2018,68,19,25.037757802068022,94.0,1.1,1769,19.3,0.14,0.5,0.0,Summer,No Holiday,Yes,7
24/03/2018,1025,15,12.4,58.0,4.1,404,4.3,2.26,0.0,0.0,Spring,No Holiday,Yes,3
27/07/2018,639,10,31.2,61.0,2.3,901,22.7,1.71,0.0,0.0,Summer,No Holiday,Yes,7
30/10/2018,1186,20,11.753250886663032,59.0,1.6000000000000003,2000,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,10
24/01/2018,82,23,-15.7,43.0,3.6,2000,-25.4,0.0,0.0,0.7,Winter,No Holiday,Yes,1
11/10/2018,2378,18,4.405752537750486,40.0,1.6666666666666667,1854,-1.1,0.18,0.0,0.0,Autumn,No Holiday,Yes,10
19/08/2018,732,10,23.916881292175233,49.0,0.9,1968,15.6,1.17,0.0,0.0,Summer,No Holiday,Yes,8
25/10/2018,1528,16,20.4,32.0,0.9,1720,3.1,0.84,0.0,0.0,Autumn,No Holiday,Yes,10
27/04/2018,1446,16,7.593636222315977,33.0,2.4,869,6.0,2.12,0.0,0.0,Spring,No Holiday,Yes,4
09/02/2018,308,9,-2.4,36.0,1.2,1276,-15.4,0.2,0.0,0.0,Winter,No Holiday,Yes,2
02/07/2018,861,17,31.927307853665862,87.0,0.6,751,22.9,0.49,0.0,0.0,Summer,No Holiday,Yes,7
16/05/2018,291,8,22.4,93.0,1.2,683,21.2,0.04,0.0,0.0,Spring,No Holiday,Yes,5
25/10/2018,421,2,9.1,79.0,1.2333333333333334,1625,5.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,10
03/09/2018,656,6,23.8,71.0,0.5666666666666667,2000,18.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,9
02/11/2018,1027,9,7.0,57.0,0.7,1553,-0.9,0.79,0.0,0.0,Autumn,No Holiday,Yes,11
23/01/2018,228,9,-13.3,36.0,2.6666666666666665,2000,-25.2,0.19,0.0,1.0,Winter,No Holiday,Yes,1
11/02/2018,175,16,-3.6,36.0,3.033333333333333,2000,-16.5,0.67,0.0,0.0,Winter,No Holiday,Yes,2
16/12/2017,190,8,-7.3,62.0,2.6,1112,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes,12
08/01/2018,53,3,-4.875482716475119,43.0,0.4,1261,-10.2,0.0,0.0,0.0,Winter,No Holiday,Yes,1
07/07/2018,1416,23,21.7,51.0,1.7,2000,11.1,0.0,0.0,0.0,Summer,No Holiday,Yes,7
09/04/2018,1069,22,9.6,41.0,0.5,1428,-3.0,0.0,0.0,0.0,Spring,No Holiday,Yes,4
11/01/2018,178,13,-8.6,41.0,3.4,1593,-19.5,1.2,0.0,0.0,Winter,No Holiday,Yes,1
30/11/2018,1047,17,6.0,29.0,2.1,1877,-10.7,0.23,0.0,0.0,Autumn,No Holiday,Yes,11
09/12/2017,289,22,-0.5,55.0,0.6,1655,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes,12
02/04/2018,1469,8,15.7,75.0,1.1,804,11.2,0.11,0.0,0.0,Spring,No Holiday,Yes,4
13/06/2018,2404,19,22.8,64.0,2.3,1444,15.6,0.45,0.0,0.0,Summer,No Holiday,Yes,6
24/06/2018,369,7,20.5,82.0,0.8,338,17.3,0.16,0.0,0.0,Summer,No Holiday,Yes,6
02/03/2018,284,23,0.3,38.0,0.2,1895,-12.3,0.0,0.0,0.0,Spring,No Holiday,Yes,3
28/02/2018,19,19,2.5,95.0,1.3,838,1.7,0.0,0.0,0.0,Winter,No Holiday,Yes,2
28/05/2018,3245,18,16.901937400716985,39.0,2.7,1950,10.9,1.07,0.0,0.0,Spring,No Holiday,Yes,5
06/02/2018,193,20,-9.6,34.0,2.6,2000,-22.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2
25/12/2017,132,1,-1.2,57.0,4.3,1429,-8.6,0.0,0.0,0.0,Winter,Holiday,Yes,12
18/01/2018,190,1,3.2,72.0,1.9,306,-1.3,0.0,0.0,0.0,Winter,No Holiday,Yes,1
26/08/2018,769,1,16.30468055474921,80.0,0.6,2000,18.8,0.0,0.0,0.0,Summer,No Holiday,Yes,8
24/11/2018,298,14,3.0,82.0,1.7,1589,0.2,0.55,0.0,5.0,Autumn,No Holiday,Yes,11
27/01/2018,192,15,-3.7,26.0,2.2,1739,-20.4,1.04,0.0,0.0,Winter,No Holiday,Yes,1
13/10/2018,1381,19,14.8,47.0,1.3,1111,3.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,10
10/09/2018,1463,7,18.9,63.0,1.8,2000,11.6,0.09,0.0,0.0,Autumn,No Holiday,Yes,9
21/07/2018,735,12,34.2,35.0,2.4,1528,16.5,3.14,0.0,0.0,Summer,No Holiday,Yes,7
30/06/2018,1317,16,27.9,69.0,0.5,880,21.6,0.61,0.0,0.0,Summer,No Holiday,Yes,6
02/02/2018,159,1,-5.2,56.0,0.9,1973,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2
12/05/2018,19,13,18.967111039746648,97.0,0.6,327,12.1,0.14,3.0,0.0,Spring,No Holiday,Yes,5
05/01/2018,327,7,-5.3,53.0,1.1,1300,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,1
24/01/2018,71,6,-15.7,29.0,2.5,2000,-29.7,0.0,0.0,0.9,Winter,No Holiday,Yes,1
25/06/2018,2779,19,29.8,45.0,1.5,956,16.5,0.32,0.0,0.0,Summer,No Holiday,Yes,6
10/04/2018,250,2,8.8,43.0,1.0,1490,-3.1,0.0,0.0,0.0,Spring,No Holiday,Yes,4
27/10/2018,1254,15,11.4,32.0,3.8,2000,-4.7,1.21,0.0,0.0,Autumn,No Holiday,Yes,10
03/09/2018,151,20,21.5,97.0,0.3,2000,20.9,0.0,0.5,0.0,Autumn,No Holiday,Yes,9
01/09/2018,362,6,20.9,87.0,0.7,1198,18.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,9
27/09/2018,1222,23,17.7,51.0,0.9666666666666667,2000,7.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,9
25/09/2018,1885,18,21.6,37.0,1.0,2000,6.2,0.24,0.0,0.0,Autumn,Holiday,Yes,9
21/05/2018,2214,17,22.2,45.0,2.4,2000,9.6,0.83,0.0,0.0,Spring,No Holiday,Yes,5
30/06/2018,1311,15,27.8,71.0,0.9,733,22.0,0.93,0.0,0.0,Summer,No Holiday,Yes,6
26/07/2018,920,16,33.5,57.0,2.8,989,23.8,1.55,0.0,0.0,Summer,No Holiday,Yes,7
30/08/2018,1173,23,24.3,71.0,0.8,1549,18.6,0.0,0.0,0.0,Summer,No Holiday,Yes,8
22/06/2018,2493,20,25.4,31.0,2.5,2000,7.0,0.07,0.0,0.0,Summer,No Holiday,Yes,6
07/12/2017,321,10,1.1,83.0,0.7,311,-1.4,0.41,0.0,0.7,Winter,No Holiday,Yes,12
01/07/2018,54,5,22.6,86.0,2.8000000000000003,1076,20.1,0.0,0.1,0.0,Summer,No Holiday,Yes,7
21/02/2018,365,14,3.3,14.0,2.9,1985,-21.7,2.49,0.0,0.0,Winter,No Holiday,Yes,2
23/02/2018,354,16,1.407182324300519,60.0,2.7,354,0.9,0.36,0.0,0.0,Winter,No Holiday,Yes,2
26/11/2018,643,11,7.2,66.0,1.5,542,1.2,1.41,0.0,0.0,Autumn,No Holiday,Yes,11
07/03/2018,48,23,6.0,79.0,2.0,918,2.6,0.0,0.0,0.0,Spring,No Holiday,Yes,3
16/09/2018,142,16,22.5,86.0,2.5,342,20.0,0.47,0.0,0.0,Autumn,No Holiday,Yes,9
29/12/2017,395,19,2.7,68.0,1.2,348,-2.6,0.0,0.0,0.0,Winter,No Holiday,Yes,12
15/11/2018,489,1,7.3,64.0,0.3,1150,0.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,11
06/01/2018,189,20,-2.1,41.0,1.1,1578,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,1
17/07/2018,1003,0,26.4,76.0,1.2,2000,21.8,0.0,0.0,0.0,Summer,No Holiday,Yes,7
28/11/2018,1039,19,6.0,24.0,3.0,1861,-13.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,11
05/07/2018,1105,16,28.2,71.0,1.7,2000,22.4,0.96,0.0,0.0,Summer,No Holiday,Yes,7
28/09/2018,0,7,14.5,62.0,1.5,2000,7.2,0.03,0.0,0.0,Autumn,No Holiday,No,9
27/04/2018,663,0,11.8,59.0,2.4,1535,4.0,0.0,0.0,0.0,Spring,No Holiday,Yes,4
06/11/2018,0,14,17.4,50.0,2.7999999999999994,336,6.8,1.52,0.0,0.0,Autumn,No Holiday,No,11
22/07/2018,499,11,33.8,45.0,1.9,1928,20.2,2.74,0.0,0.0,Summer,No Holiday,Yes,7
16/10/2018,491,6,10.1,71.0,0.2,1474,5.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,10
12/02/2018,182,14,-2.4,30.0,3.4,1824,-17.6,2.08,0.0,0.0,Winter,No Holiday,Yes,2
29/09/2018,1781,21,20.1,54.0,1.2,2000,10.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,9
28/07/2018,461,3,28.5,81.0,1.2,911,24.9,0.0,0.0,0.0,Summer,No Holiday,Yes,7
06/01/2018,218,22,-3.785710229859154,47.0,1.6,1492,-12.3,0.0,0.0,0.0,Winter,No Holiday,Yes,1
06/06/2018,799,8,21.2,59.0,1.2,794,12.8,1.13,0.0,0.0,Summer,Holiday,Yes,6
24/11/2018,435,17,2.9,85.0,1.4000000000000001,1000,0.6,0.2,0.0,3.5,Autumn,No Holiday,Yes,11
11/02/2018,93,2,-0.15289506306145517,42.0,1.6,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,2
13/05/2018,1155,22,13.5,87.0,2.2,433,11.3,0.0,0.0,0.0,Spring,No Holiday,Yes,5
27/12/2017,242,21,-6.4,34.0,1.2,2000,-19.7,0.0,0.0,0.0,Winter,No Holiday,Yes,12
15/03/2018,355,1,16.3,68.0,2.1,1859,10.3,0.0,0.0,0.0,Spring,No Holiday,Yes,3
03/09/2018,73,19,21.7,97.0,0.2,1154,21.1,0.01,1.0,0.0,Autumn,No Holiday,Yes,9
08/05/2018,767,23,12.2,57.0,2.433333333333333,2000,3.9,0.0,0.0,0.0,Spring,No Holiday,Yes,5
23/11/2018,727,7,-2.8,42.0,1.3,2000,-13.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,11
11/10/2018,541,1,7.3,59.0,0.1,2000,-0.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,10
05/10/2018,32,21,16.5,96.0,2.2,963,15.8,0.0,1.5,0.0,Autumn,No Holiday,Yes,10
05/03/2018,22,5,4.7,89.0,2.3,1242,3.0,0.0,0.0,0.0,Spring,No Holiday,Yes,3
23/06/2018,2256,18,26.3,55.0,3.2,1119,16.5,0.64,0.0,0.0,Summer,No Holiday,Yes,6
01/02/2018,194,11,-2.6,33.0,1.5,1830,-16.6,0.95,0.0,1.4,Winter,No Holiday,Yes,2
27/10/2018,864,19,8.0,42.0,2.9,2000,-4.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,10
28/03/2018,225,2,11.5,75.0,0.8666666666666666,399,7.2,0.0,0.0,0.0,Spring,No Holiday,Yes,3
20/09/2018,524,2,19.9,64.0,1.5,1755,12.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,9
25/04/2018,1192,12,19.4,20.0,1.1,1663,-4.1,3.08,0.0,0.0,Spring,No Holiday,Yes,4
23/07/2018,1157,23,30.0,58.0,1.6,2000,20.8,0.0,0.0,0.0,Summer,No Holiday,Yes,7
29/04/2018,716,9,14.9,39.0,0.9,1354,1.0,1.56,0.0,0.0,Spring,No Holiday,Yes,4
14/05/2018,1433,16,24.3,54.0,2.6,346,14.3,1.81,0.0,0.0,Spring,No Holiday,Yes,5
12/01/2018,186,22,-6.9,39.0,1.6,2000,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,1
07/07/2018,1579,15,28.7,42.0,1.3,2000,14.5,2.98,0.0,0.0,Summer,No Holiday,Yes,7
27/05/2018,762,9,19.5,43.0,1.5,1548,0.0,1.02,0.0,0.0,Spring,No Holiday,Yes,5
02/07/2018,28,1,21.3,97.0,1.0,1451,20.7,0.0,3.0,0.0,Summer,No Holiday,Yes,7
11/09/2018,1234,9,19.8,49.0,1.9,2000,8.7,1.24,0.0,0.0,Autumn,No Holiday,Yes,9
13/07/2018,2320,19,29.8,68.0,2.6,1749,23.2,0.81,0.0,0.0,Summer,No Holiday,Yes,7
07/06/2018,1442,16,29.3,41.0,2.0,905,14.6,1.95,0.0,0.0,Summer,No Holiday,Yes,6
18/11/2018,114,6,1.9,53.0,2.033333333333333,1813,-6.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,11
18/02/2018,99,0,-3.6,33.0,1.9666666666666668,2000,-17.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2
16/05/2018,367,7,22.0,95.0,0.7,342,21.1,0.0,0.0,0.0,Spring,No Holiday,Yes,5
17/04/2018,421,1,12.802237196206724,36.0,1.0,1994,-5.3,0.0,0.0,0.0,Spring,No Holiday,Yes,4
24/01/2018,203,17,5.112494480238682,26.0,3.5,2000,-27.4,0.39,0.0,0.7,Winter,No Holiday,Yes,1
12/01/2018,105,0,-13.6,49.0,1.6,2000,-22.0,0.0,0.0,0.0,Winter,No Holiday,Yes,1
29/09/2018,208,5,15.0,77.0,0.5,2000,10.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,9
17/06/2018,1979,15,34.18339620595454,51.0,2.6,598,16.2,2.4,0.0,0.0,Summer,No Holiday,Yes,6
15/07/2018,402,7,25.2,80.0,0.2,1551,21.4,0.18,0.0,0.0,Summer,No Holiday,Yes,7
23/05/2018,3123,18,21.7,40.0,3.5,1987,7.4,1.18,0.0,0.0,Spring,No Holiday,Yes,5
16/08/2018,173,4,27.8,69.0,0.9,2000,21.5,0.0,0.0,0.0,Summer,No Holiday,Yes,8
28/02/2018,10,21,2.4,95.0,2.5,1349,1.6,0.0,9.0,0.0,Winter,No Holiday,Yes,2
02/02/2018,330,16,2.9,26.0,2.0,1968,-14.7,0.69,0.0,0.0,Winter,No Holiday,Yes,2
12/08/2018,997,0,29.9,56.0,2.0,2000,20.1,0.0,0.0,0.0,Summer,No Holiday,Yes,8
03/07/2018,354,2,23.0,98.0,0.1,1026,22.6,0.0,0.0,0.0,Summer,No Holiday,Yes,7
17/08/2018,1112,16,33.7,26.0,1.5,2000,11.5,2.39,0.0,0.0,Summer,No Holiday,Yes,8
27/04/2018,427,6,9.9,66.0,1.5,931,3.8,0.0,0.0,0.0,Spring,No Holiday,Yes,4
19/03/2018,711,20,8.3,47.0,3.1,2000,-2.3,0.0,0.0,0.0,Spring,No Holiday,Yes,3
29/04/2018,1485,20,16.9,42.0,1.4666666666666668,942,3.8,0.0,0.0,0.0,Spring,No Holiday,Yes,4
02/04/2018,125,5,15.3,82.0,1.4,508,12.2,0.0,0.0,0.0,Spring,No Holiday,Yes,4
06/12/2017,193,23,1.3,92.0,0.6,209,0.1,0.0,0.0,1.0,Winter,No Holiday,Yes,12
22/05/2018,163,15,21.1,72.0,2.7,663,15.8,0.31,0.1,0.0,Spring,Holiday,Yes,5
14/08/2018,615,10,31.7,57.0,1.3,1875,22.1,1.25,0.0,0.0,Summer,No Holiday,Yes,8
04/01/2018,120,6,-7.6,47.0,2.3,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,1
09/11/2018,0,13,14.0,46.0,5.3,927,2.5,1.68,0.0,0.0,Autumn,No Holiday,No,11
